Model,Mean_Reward,Std_Reward,Max_Reward,Min_Reward,Median_Reward,Q25_Reward,Q75_Reward,Mean_Length,Std_Length,CV,Success_Rate_%
Double_DQN_with_Huber_Loss,749.108331746156,146.21344268498925,922.7999999999919,340.39735099336394,783.1762032085393,723.0310757152547,839.6640673055737,953.1,64.9552923171007,0.19518330859325614,100.0
DQN_with_Huber_Loss,841.9115006155038,68.03920585660767,896.666666666656,577.9661016949007,862.6727040519961,832.3043335367729,875.3577441077271,1000.0,0.0,0.08081515195702356,100.0
DQN_with_MSE_Loss,-92.97136946299491,0.47678307602894776,-92.21789883268384,-93.90243902438918,-93.0190058479522,-93.31661092530554,-92.64027566746157,1000.0,0.0,0.0051282785096407576,0.0
