Episode,TotalReward,FinalEpsilon,TotalFrames,EpisodeSteps
1,-51.7241379310352,0.9675439394771859,1000,1000
2,-54.69255663430507,0.9361519151813016,2000,1000
3,-56.52173913043561,0.9057890438555999,3000,1000
4,-54.54545454545529,0.8764215858525181,4000,1000
5,-62.06896551724225,0.848016907641708,5000,1000
6,-50.00000000000076,0.820543445547202,6000,1000
7,-59.32203389830599,0.7939706706734139,7000,1000
8,-49.640287769784976,0.7682690549810022,8000,1000
9,-53.90070921985898,0.7434100384749007,9000,1000
10,-62.02531645569705,0.7193659974680514,10000,1000
11,-53.068592057762515,0.6961102138855771,11000,1000
12,-61.29032258064599,0.6736168455752829,12000,1000
13,-54.54545454545532,0.6518608975914947,13000,1000
14,-45.161290322581216,0.6308181944203255,14000,1000
15,-49.820788530466636,0.6104653531155071,15000,1000
16,-52.38095238095321,0.5907797573149315,16000,1000
17,-57.95795795795874,0.5717395321090338,17000,1000
18,-41.60583941605898,0.5533235197330861,18000,1000
19,-56.08108108108198,0.5355112560563938,19000,1000
20,-41.176470588235986,0.5182829478422661,20000,1000
21,-56.52173913043562,0.5016194507534955,21000,1000
22,-63.36996336996424,0.4855022480789014,22000,1000
23,-47.19471947194775,0.46991343015730236,23000,1000
24,-54.54545454545497,0.45483567447604933,24000,1000
25,-52.55474452554812,0.4402522264220074,25000,1000
26,-41.34897360703873,0.4261468806635951,26000,1000
27,-42.02898550724696,0.4125039631431931,27000,1000
28,-10.780669144981237,0.39930831365991226,28000,1000
29,-18.819188191881796,0.38654526902336594,29000,1000
30,-41.717791411043684,0.3742006467597279,30000,1000
31,-42.122186495177466,0.36226072935196846,31000,1000
32,34.32835820895477,0.35071224899675824,32000,1000
33,-31.972789115646975,0.3395423728610988,33000,1000
34,-54.39739413680828,0.3287386888222992,34000,1000
35,-68.75000000000048,0.3182891916754517,35000,1000
36,-58.33333333333404,0.30818226979308005,36000,1000
37,-71.01449275362334,0.2984066922221363,37000,1000
38,-17.29323308270754,0.2889515962040088,38000,1000
39,-15.384615384616177,0.27980647510367246,39000,1000
40,-58.4664536741219,0.2709611667345695,40000,1000
41,-29.29292929293,0.26240584206624484,41000,1000
42,-13.934426229509013,0.25413099430219044,42000,1000
43,-12.000000000000856,0.2461274283157594,43000,1000
44,-24.657534246576095,0.23838625043241324,44000,1000
45,-21.985815602837658,0.23089885854694553,45000,1000
46,-45.76271186440754,0.22365693256470284,46000,1000
